iter	Logloss
280	0.08491060903
281	0.08468057266
282	0.08466371567
283	0.08430661001
284	0.08394162484
285	0.08354955903
286	0.08344229326
287	0.08304332325
288	0.08274672937
289	0.08242063166
290	0.08227118418
291	0.08205295879
292	0.08174640225
293	0.08130605315
294	0.08083558435
295	0.08058528034
296	0.08015938497
297	0.07998697924
298	0.07962100739
299	0.07933190008
300	0.07905455414
301	0.07875310522
302	0.07846832414
303	0.07844865284
304	0.07811137718
305	0.0777738795
306	0.07743027769
307	0.07722982215
308	0.07698384224
309	0.07684269758
310	0.07659673887
311	0.07636855026
312	0.07611383602
313	0.07593629794
314	0.07562282237
315	0.0753854338
316	0.07523529283
317	0.07507325088
318	0.07483702814
319	0.07445591129
320	0.07412461252
321	0.07384081473
322	0.07361675186
323	0.07338816453
324	0.07315300192
325	0.07298151001
326	0.07280151316
327	0.07255771122
328	0.07243760137
329	0.07221708569
330	0.07201339988
331	0.07178420028
332	0.07155813308
333	0.07133003317
334	0.07115934075
335	0.07093415843
336	0.07069878088
337	0.07055012034
338	0.07022193392
339	0.06994377155
340	0.06993186476
341	0.06975098371
342	0.06963158294
343	0.06948458471
344	0.06930083012
345	0.06908289789
